Code,Road,Direction,Mileage
5033323,I-235,EB,0
5033244,I-235,EB,0.509586
5033375,I-235,EB,0.891268
5033376,I-235,EB,1.277982
5033359,I-235,EB,1.363923
5033347,I-235,EB,1.762579
5033349,I-235,EB,2.059138
5033240,I-235,EB,2.309944
5033328,I-235,EB,2.929962
5033237,I-235,EB,3.383721
5033238,I-235,EB,3.71955
5032600,I-235,EB,3.9547
5032736,I-235,EB,4.531097
5032733,I-235,EB,5.160606
5032690,I-235,EB,5.558792
5032606,I-235,EB,5.895078
5032734,I-235,EB,5.97003
5032599,I-235,EB,6.260691
5032689,I-235,EB,6.883284
5032711,I-235,EB,7.440563
5032712,I-235,EB,7.864254
5032587,I-235,EB,8.135085
5032589,I-235,EB,8.661086
5033082,I-235,EB,8.914961
5033025,I-235,EB,9.073877
5033092,I-235,EB,9.888968
5033081,I-235,EB,10.068139
5033059,I-235,EB,10.514222
5033007,I-235,EB,10.670484
5033095,I-235,EB,11.19432
5033004,I-235,EB,11.482155
5033094,I-235,EB,11.943812
5033087,I-235,EB,12.298431
5033079,I-235,EB,12.562212
5032426,I-235,EB,12.93788
5032446,I-235,EB,13.9605
5032447,I-235,WB,0
5032428,I-235,WB,0.676521
5033076,I-235,WB,1.741511
5032998,I-235,WB,2.056675
5033063,I-235,WB,2.2806
5033003,I-235,WB,2.689418
5033056,I-235,WB,3.179552
5033057,I-235,WB,3.734144
5033058,I-235,WB,4.039357
5033020,I-235,WB,4.447006
5033027,I-235,WB,4.706478
5033049,I-235,WB,5.216154
5032732,I-235,WB,5.682747
5032586,I-235,WB,5.790852
5032584,I-235,WB,6.203462
5032715,I-235,WB,6.490249
5032713,I-235,WB,6.602063
5032694,I-235,WB,7.323646
5032709,I-235,WB,7.472677
5032708,I-235,WB,7.759098
5032741,I-235,WB,8.299706
5032735,I-235,WB,8.594092
5032605,I-235,WB,9.092153
5032601,I-235,WB,9.591028
5032598,I-235,WB,10.064336
5033236,I-235,WB,10.572307
5033324,I-235,WB,10.951482
5033358,I-235,WB,11.175754
5033239,I-235,WB,11.747525
5033368,I-235,WB,12.336887
5033373,I-235,WB,12.491597
5033243,I-235,WB,13.112941
5033362,I-235,WB,13.456991
5033322,I-235,WB,13.65673
5033331,I-235,WB,14.152948
