Code,Time,Speed
5032426,0,55
5032426,1,43
5032426,2,42.75
5032426,3,53
5032426,100,46
5032426,101,48
5032426,102,50
5032426,103,45
5032426,200,-69
5032426,201,44
5032426,202,51
5032426,203,44.5
5032426,300,52.25
5032426,301,44
5032426,302,40
5032426,303,47
5032426,400,55
5032426,401,46
5032426,402,44
5032426,403,47
5032426,500,49
5032426,501,53
5032426,502,49
5032426,503,43
5032426,600,41
5032426,601,50
5032426,602,41
5032426,603,50
5032426,700,59
5032426,701,53
5032426,702,58
5032426,703,51
5032426,800,59.5
5032426,801,60
5032426,802,54
5032426,803,52
5032426,900,43
5032426,901,46
5032426,902,56
5032426,903,54
5032426,1000,54
5032426,1001,54
5032426,1002,53
5032426,1003,55
5032426,1100,55.75
5032426,1101,47
5032426,1102,54
5032426,1103,46
5032426,1200,57.25
5032426,1201,55
5032426,1202,57
5032426,1203,47
5032426,1300,51.75
5032426,1301,53
5032426,1302,51
5032426,1303,48
5032426,1400,49.5
5032426,1401,48
5032426,1402,52
5032426,1403,54
5032426,1500,46
5032426,1501,46
5032426,1502,52
5032426,1503,48
5032426,1600,48.5
5032426,1601,47
5032426,1602,48
5032426,1603,50
5032426,1700,44.75
5032426,1701,49
5032426,1702,53
5032426,1703,42.75
5032426,1800,53
5032426,1801,44
5032426,1802,50
5032426,1803,57
5032426,1900,39.75
5032426,1901,48
5032426,1902,50
5032426,1903,46
5032426,2000,51.75
5032426,2001,43
5032426,2002,38
5032426,2003,43.75
5032426,2100,34.5
5032426,2101,49
5032426,2102,47
5032426,2103,49
5032426,2200,49
5032426,2201,48
5032426,2202,54
5032426,2203,48
5032426,2300,52.5
5032426,2301,48
5032426,2302,39
5032426,2303,54
5032428,0,56
5032428,1,47
5032428,2,45
5032428,3,50
5032428,100,57
5032428,101,52
5032428,102,47
5032428,103,58.75
5032428,200,47
5032428,201,47
5032428,202,52
5032428,203,55
5032428,300,40.5
5032428,301,52
5032428,302,52
5032428,303,52
5032428,400,50
5032428,401,52.25
5032428,402,58
5032428,403,58
5032428,500,43
5032428,501,43
5032428,502,55
5032428,503,59
5032428,600,57.5
5032428,601,55
5032428,602,51
5032428,603,56
5032428,700,58
5032428,701,47
5032428,702,49
5032428,703,43
5032428,800,56.5
5032428,801,58
5032428,802,-32
5032428,803,51
5032428,900,45.25
5032428,901,50
5032428,902,52
5032428,903,59
5032428,1000,49
5032428,1001,46
5032428,1002,55
5032428,1003,48
5032428,1100,52.25
5032428,1101,51
5032428,1102,52
5032428,1103,49
5032428,1200,51.5
5032428,1201,50
5032428,1202,53
5032428,1203,56
5032428,1300,48
5032428,1301,57
5032428,1302,57
5032428,1303,48
5032428,1400,47.5
5032428,1401,53.5
5032428,1402,58
5032428,1403,58
5032428,1500,47
5032428,1501,54
5032428,1502,58
5032428,1503,53
5032428,1600,41
5032428,1601,53
5032428,1602,52
5032428,1603,51
5032428,1700,62
5032428,1701,56
5032428,1702,56.25
5032428,1703,53
5032428,1800,49
5032428,1801,50
5032428,1802,59
5032428,1803,55
5032428,1900,51
5032428,1901,54
5032428,1902,54
5032428,1903,47
5032428,2000,42
5032428,2001,47
5032428,2002,52
5032428,2003,52
5032428,2100,42
5032428,2101,54
5032428,2102,43
5032428,2103,47
5032428,2200,49
5032428,2201,51
5032428,2202,49
5032428,2203,46
5032428,2300,59
5032428,2301,51
5032428,2302,62
5032428,2303,52
5032446,0,59
5032446,1,39
5032446,2,60
5032446,3,42.5
5032446,100,48
5032446,101,52
5032446,102,61
5032446,103,65
5032446,201,41
5032446,202,35.25
5032446,203,44
5032446,300,36
5032446,301,38
5032446,302,64
5032446,303,-15
5032446,400,64
5032446,401,37
5032446,402,38.25
5032446,403,42
5032446,500,40.25
5032446,501,43.5
5032446,502,59
5032446,503,50
5032446,600,63
5032446,601,55
5032446,602,48
5032446,603,46
5032446,700,62
5032446,701,53
5032446,702,60
5032446,703,56
5032446,800,63.5
5032446,801,57
5032446,802,58
5032446,803,58
5032446,900,54
5032446,901,57
5032446,902,62
5032446,903,63
5032446,1000,59.25
5032446,1001,53
5032446,1002,52
5032446,1003,53
5032446,1100,48.5
5032446,1101,54
5032446,1102,53
5032446,1103,63
5032446,1200,56
5032446,1201,56
5032446,1202,55
5032446,1203,60
5032446,1300,57
5032446,1301,54
5032446,1302,59
5032446,1303,61
5032446,1400,55.5
5032446,1401,59
5032446,1402,59
5032446,1403,53
5032446,1500,63.5
5032446,1501,61
5032446,1502,63
5032446,1503,54
5032446,1600,46
5032446,1601,60
5032446,1602,51.75
5032446,1603,58
5032446,1700,51.25
5032446,1701,49
5032446,1702,54
5032446,1703,44
5032446,1800,63
5032446,1801,60
5032446,1802,62
5032446,1803,58
5032446,1900,52
5032446,1901,54
5032446,1902,51
5032446,1903,51
5032446,2000,57
5032446,2001,50
5032446,2002,53
5032446,2003,56
5032446,2100,55
5032446,2101,46
5032446,2102,41
5032446,2103,59.5
5032446,2200,47.5
5032446,2201,45
5032446,2202,42
5032446,2203,40
5032446,2300,58
5032446,2301,47
5032446,2302,41
5032446,2303,28
5032447,0,43.75
5032447,1,43
5032447,2,48
5032447,3,54
5032447,100,63
5032447,101,56
5032447,102,58
5032447,103,59
5032447,200,58.5
5032447,201,57
5032447,202,59
5032447,203,57
5032447,300,54.75
5032447,301,62
5032447,302,-10
5032447,303,63
5032447,400,49
5032447,401,55
5032447,402,63
5032447,403,59
5032447,500,65
5032447,501,50
5032447,502,51
5032447,503,54
5032447,600,60.75
5032447,601,59.25
5032447,602,42
5032447,603,63
5032447,700,52.5
5032447,701,47
5032447,702,52.5
5032447,703,38
5032447,800,48
5032447,801,62
5032447,802,58
5032447,803,54
5032447,900,59.5
5032447,901,59
5032447,902,63
5032447,903,57
5032447,1000,59
5032447,1001,58
5032447,1002,56
5032447,1003,55
5032447,1100,60
5032447,1101,58
5032447,1102,58
5032447,1103,59
5032447,1200,59
5032447,1201,56
5032447,1202,61
5032447,1203,63
5032447,1300,55
5032447,1301,61
5032447,1302,62
5032447,1303,56
5032447,1400,52.5
5032447,1401,59
5032447,1402,55
5032447,1403,62
5032447,1500,59
5032447,1501,58
5032447,1502,59
5032447,1503,59
5032447,1600,55.5
5032447,1601,60
5032447,1602,56
5032447,1603,55
5032447,1700,66
5032447,1701,57
5032447,1702,53.25
5032447,1703,58
5032447,1800,49.5
5032447,1801,53.5
5032447,1802,53
5032447,1803,54
5032447,1900,62
5032447,1901,58
5032447,1902,57
5032447,1903,63
5032447,2000,54
5032447,2001,66
5032447,2002,54
5032447,2003,56
5032447,2100,56
5032447,2101,47
5032447,2102,40
5032447,2103,51
5032447,2200,54
5032447,2201,65
5032447,2202,50
5032447,2203,47
5032447,2301,32
5032447,2302,60
5032447,2303,52
5032584,0,47
5032584,1,51
5032584,2,57
5032584,3,47
5032584,100,38.5
5032584,101,49
5032584,102,44
5032584,103,54
5032584,200,50
5032584,201,48
5032584,202,33
5032584,203,54
5032584,300,51
5032584,301,51
5032584,302,49
5032584,303,32
5032584,400,24
5032584,401,49
5032584,402,46.5
5032584,403,45
5032584,500,32
5032584,501,54
5032584,502,47
5032584,503,47
5032584,600,51
5032584,601,48
5032584,602,45
5032584,603,49
5032584,700,55
5032584,701,49
5032584,702,45
5032584,703,46
5032584,800,47
5032584,801,42
5032584,802,41.5
5032584,803,47
5032584,900,32
5032584,901,51
5032584,902,51
5032584,903,51
5032584,1000,53
5032584,1001,49
5032584,1002,54
5032584,1003,51
5032584,1100,54
5032584,1101,54
5032584,1102,51
5032584,1103,48
5032584,1200,54
5032584,1201,48
5032584,1202,45
5032584,1203,49
5032584,1300,49
5032584,1301,41
5032584,1302,51
5032584,1303,51
5032584,1400,52.5
5032584,1401,49
5032584,1402,51
5032584,1403,51
5032584,1500,54
5032584,1501,48
5032584,1502,48
5032584,1503,48
5032584,1600,51.5
5032584,1601,50
5032584,1602,40
5032584,1603,43
5032584,1700,17
5032584,1701,37
5032584,1702,46
5032584,1703,46
5032584,1800,34
5032584,1801,50
5032584,1802,43
5032584,1803,51
5032584,1900,50.25
5032584,1901,49
5032584,1902,49.25
5032584,1903,41
5032584,2000,44
5032584,2001,48
5032584,2002,50
5032584,2003,49
5032584,2100,50
5032584,2101,37
5032584,2102,46
5032584,2103,37.75
5032584,2200,45.5
5032584,2201,44
5032584,2202,43
5032584,2203,49
5032584,2300,46
5032584,2301,45
5032584,2302,45.5
5032584,2303,43
5032586,0,44.5
5032586,1,48
5032586,2,36.75
5032586,3,54
5032586,100,37
5032586,101,48
5032586,102,46.25
5032586,103,50
5032586,200,51.5
5032586,201,50
5032586,202,46
5032586,203,51
5032586,300,51
5032586,301,45
5032586,302,47
5032586,303,36
5032586,400,55.5
5032586,401,41
5032586,402,43
5032586,403,37
5032586,500,32
5032586,501,47
5032586,502,48
5032586,503,54
5032586,600,51
5032586,601,36
5032586,602,50.5
5032586,603,47
5032586,700,51
5032586,701,47
5032586,702,45
5032586,703,45
5032586,800,36
5032586,801,46
5032586,802,47
5032586,803,47
5032586,900,48
5032586,901,49
5032586,902,46
5032586,903,52
5032586,1000,51
5032586,1001,53
5032586,1002,52
5032586,1003,51
5032586,1100,57.25
5032586,1101,49
5032586,1102,49
5032586,1103,54
5032586,1200,52
5032586,1201,47
5032586,1202,44
5032586,1203,52
5032586,1300,48
5032586,1301,45
5032586,1302,49
5032586,1303,51
5032586,1400,53.5
5032586,1401,49
5032586,1402,49
5032586,1403,49
5032586,1500,51
5032586,1501,53
5032586,1502,47
5032586,1503,52
5032586,1600,43.5
5032586,1601,50.5
5032586,1602,45
5032586,1603,51
5032586,1700,41
5032586,1701,46
5032586,1702,52
5032586,1703,48
5032586,1800,41
5032586,1801,54
5032586,1802,48
5032586,1803,52
5032586,1900,54
5032586,1901,52
5032586,1902,47
5032586,1903,46.25
5032586,2000,46.5
5032586,2001,48
5032586,2002,50
5032586,2003,50
5032586,2100,54
5032586,2101,48
5032586,2102,47
5032586,2103,41
5032586,2200,43
5032586,2201,45
5032586,2202,43
5032586,2203,53
5032586,2300,45
5032586,2301,47
5032586,2302,52
5032586,2303,51
5032587,0,44.75
5032587,1,52
5032587,2,50
5032587,3,56
5032587,100,48.5
5032587,101,52
5032587,102,54
5032587,103,52
5032587,200,53
5032587,201,46.5
5032587,202,46
5032587,203,56
5032587,300,48
5032587,301,37
5032587,302,46
5032587,303,53
5032587,400,49
5032587,401,43
5032587,402,44
5032587,403,46
5032587,500,52
5032587,501,49
5032587,502,49
5032587,503,52
5032587,600,49.5
5032587,601,50.75
5032587,602,49
5032587,603,51.5
5032587,700,56
5032587,701,56
5032587,702,47
5032587,703,53
5032587,800,51.5
5032587,801,48
5032587,802,53
5032587,803,54
5032587,900,56
5032587,901,54
5032587,902,55.25
5032587,903,51
5032587,1000,53
5032587,1001,52
5032587,1002,49
5032587,1003,53
5032587,1100,52.75
5032587,1101,56
5032587,1102,56
5032587,1103,51
5032587,1200,51
5032587,1201,53
5032587,1202,50
5032587,1203,50
5032587,1300,49.5
5032587,1301,49
5032587,1302,42
5032587,1303,51
5032587,1400,54
5032587,1401,53
